,Book-Title,Book-Author,Image-URL-M,num_rating_x,avg_rating_x
0,The Kitchen God's Wife,Amy Tan,https://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,13,4.923076923076923
1,The Testament,John Grisham,https://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,617,3.179902755267423
2,Beloved,Toni Morrison,https://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,1,10.0
3,Wild Animus,Rich Shapero,https://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,2502,1.0195843325339728
4,Airframe,Michael Crichton,https://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,332,2.9006024096385543
5,Timeline,MICHAEL CRICHTON,https://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,552,3.75
6,To Kill a Mockingbird,Harper Lee,https://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,510,4.7
7,Seabiscuit: An American Legend,LAURA HILLENBRAND,https://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,275,4.098181818181819
8,Pigs in Heaven,Barbara Kingsolver,https://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,249,3.2730923694779115
9,Pride and Prejudice,Jane Austen,https://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg,1,10.0
10,Icebound,Dean R. Koontz,https://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,146,2.5136986301369864
11,I'll Be Seeing You,Mary Higgins Clark,https://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,145,2.0620689655172413
12,From the Corner of His Eye,Dean Koontz,https://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,219,3.442922374429224
13,Isle of Dogs,Patricia Cornwell,https://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,288,2.0
14,Purity in Death,J.D. Robb,https://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,106,2.3207547169811322
15,The Street Lawyer,JOHN GRISHAM,https://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,545,2.851376146788991
16,Breathing Lessons,Anne Tyler,https://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,239,2.1171548117154813
17,The Joy Luck Club,Amy Tan,https://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,555,3.0558558558558557
18,The Tao of Pooh,Benjamin Hoff,https://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg,211,4.289099526066351
19,Seabiscuit,LAURA HILLENBRAND,https://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,187,2.732620320855615
20,The Catcher in the Rye,J.D. Salinger,https://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,449,4.5456570155902005
21,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,https://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg,265,3.147169811320755
22,Pretend You Don't See Her,Mary Higgins Clark,https://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg,242,2.652892561983471
23,Fast Women,Jennifer Crusie,https://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg,4,5.0
24,The Pillars of the Earth,Ken Follett,https://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg,231,3.242424242424242
25,The Five People You Meet in Heaven,Mitch Albom,https://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,2,7.5
26,The Alibi,Sandra Brown,https://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg,129,2.108527131782946
27,The Beach House,James Patterson,https://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg,435,3.3471264367816094
28,Angels &amp; Demons,Dan Brown,https://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg,670,3.708955223880597
29,The Girl Who Loved Tom Gordon,Stephen King,https://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg,219,3.2009132420091326
30,Little Altars Everywhere: A Novel,Rebecca Wells,https://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg,434,3.2557603686635943
31,Before I Say Good-Bye,Mary Higgins Clark,https://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg,178,2.5168539325842696
32,Slow Waltz in Cedar Bend,Robert James Waller,https://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg,4,3.5
33,Atonement : A Novel,IAN MCEWAN,https://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg,181,2.8232044198895028
34,Rebecca,Daphne Du Maurier,https://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg,1,5.0
35,Contact,Susan Grant,https://images.amazon.com/images/P/0505524996.01.MZZZZZZZ.jpg,177,3.248587570621469
36,Wish You Well,David Baldacci,https://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg,234,3.0128205128205128
37,The Hitchhiker's Guide to the Galaxy,Douglas Adams,https://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg,268,4.3283582089552235
38,Bridget Jones's Diary,Helen Fielding,https://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,815,3.5276073619631902
39,Fahrenheit 451,Ray Bradbury,https://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg,6,7.666666666666667
40,The God of Small Things,Arundhati Roy,https://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg,289,3.28719723183391
41,Four Blind Mice,James Patterson,https://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg,238,3.5756302521008405
42,Congo,Michael Crichton,https://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg,1,7.0
43,Plainsong,KENT HARUF,https://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg,156,3.301282051282051
44,Body of Evidence,Patricia D. Cornwell,https://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg,10,4.0
45,All That Remains,Patricia D. Cornwell,https://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg,2,3.5
46,The Brethren,JOHN GRISHAM,https://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg,556,2.8507194244604315
47,The King of Torts,John Grisham,https://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg,2,4.0
48,Bleachers,John Grisham,https://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg,189,3.3439153439153437
49,Roses Are Red,James Patterson,https://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg,99,3.5757575757575757
50,The Rescue,Nicholas Sparks,https://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg,1,6.0
