,book-title,1st,2nd,3rd,4th,5th
0,1984,Animal Farm,Harry Potter and the Goblet of Fire,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Sorcerer's Stone,She's Come Undone
1,1st to Die: A Novel,Q Is for Quarry,Three Junes,1984,2nd Chance,4 Blondes
2,2nd Chance,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
3,4 Blondes,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
4,A Bend in the Road,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
5,A Case of Need,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
6,"A Child Called \It\"": One Child's Courage to Survive""",1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
7,A Civil Action,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
8,A Day Late and a Dollar Short,A Great Deliverance,Before I Say Good-Bye,Big Trouble,Black House,Brave New World
9,A Fine Balance,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
10,A Great Deliverance,A Great Deliverance,Before I Say Good-Bye,Big Trouble,Black House,Brave New World
11,A Heartbreaking Work of Staggering Genius,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
12,A Is for Alibi,Five Quarters of the Orange,Seabiscuit: An American Legend,Tales of a Fourth Grade Nothing,The Giver,The Glass Lake
13,A Lesson Before Dying,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
14,A Man Named Dave: A Story of Triumph and Forgiveness,"Breath, Eyes, Memory",Year of Wonders,1984,1st to Die: A Novel,2nd Chance
15,A Man in Full,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
16,A Map of the World,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
17,A Painted House,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
18,A Patchwork Planet,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
19,A Prayer for Owen Meany,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
20,A Thin Dark Line,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
21,A Thousand Acres,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
22,A Time to Kill,Dark Rivers of the Heart,Fear Nothing,Mystic River,The Pelican Brief,Tom Clancy's Op-Center
23,A Virtuous Woman,I'll Be Seeing You,1984,1st to Die: A Novel,2nd Chance,4 Blondes
24,A Walk to Remember,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
25,A Widow for One Year,Angela's Ashes: A Memoir,Beloved,Bridget Jones : The Edge of Reason,Charming Billy,Drowning Ruth
26,A Wrinkle In Time,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
27,A Wrinkle in Time,"Dude, Where's My Country?",Dying for Chocolate,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",1984,1st to Die: A Novel
28,A Year in Provence,C Is for Corpse,If Only It Were True,Into the Wild,Lord of the Flies,Me Talk Pretty One Day
29,ANGELA'S ASHES,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
30,About a Boy,1984,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road
31,Absolute Power,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
32,Acceptable Risk,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
33,Accident,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
34,Airframe,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
35,All Around the Town,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
36,All I Really Need to Know,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
37,All That Remains,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
38,All the Pretty Horses,1st to Die: A Novel,2nd Chance,4 Blondes,A Bend in the Road,A Case of Need
